date,state,cases_new,cases_import,cases_recovered,cases_active,cases_cluster,cases_unvax,cases_pvax,cases_fvax,cases_boost,cases_child,cases_adolescent,cases_adult,cases_elderly,cases_0_4,cases_5_11,cases_12_17,cases_18_29,cases_30_39,cases_40_49,cases_50_59,cases_60_69,cases_70_79,cases_80
1/1/2022,Johor,426,44,437,5118,89,121,2,285,18,65,19,306,36,31,34,19,87,110,74,35,24,8,4
1/1/2022,Kedah,254,32,197,1771,19,74,0,154,26,52,13,147,37,13,39,13,57,42,24,24,30,5,2
1/1/2022,Kelantan,350,36,317,3520,1,98,4,220,28,63,18,220,48,28,35,18,87,63,43,27,27,18,3
1/1/2022,Melaka,182,9,89,1398,38,29,1,137,15,20,6,145,11,11,9,6,52,53,29,11,6,4,1
1/1/2022,Negeri Sembilan,97,27,121,1421,0,15,1,64,17,7,1,71,18,2,5,1,18,24,12,17,11,7,0
1/1/2022,Pahang,268,15,183,2622,13,57,0,193,18,43,20,172,33,19,24,20,67,52,35,18,24,6,3
1/1/2022,Perak,164,37,272,1697,6,22,0,116,26,10,4,101,49,2,8,4,22,29,24,26,30,15,4
1/1/2022,Perlis,22,0,23,250,0,2,0,18,2,1,0,18,3,0,1,0,6,5,3,4,3,0,0
1/1/2022,Pulau Pinang,206,9,93,2310,10,34,1,141,30,25,11,147,23,5,20,11,47,48,28,24,17,3,3
1/1/2022,Sabah,264,8,150,4598,20,64,1,176,23,39,12,178,34,16,23,12,63,51,37,27,17,13,4
1/1/2022,Sarawak,24,1,40,219,0,3,2,12,7,2,1,19,2,1,1,1,2,8,5,4,2,0,0
1/1/2022,Selangor,786,57,1106,10344,15,178,4,542,62,121,33,534,64,45,76,33,196,172,96,70,40,16,8
1/1/2022,Terengganu,130,22,262,2331,0,24,0,92,14,15,4,85,26,11,4,4,20,28,21,16,15,9,2
1/1/2022,W.P. Kuala Lumpur,191,38,224,2994,0,45,0,126,20,29,8,136,18,11,18,8,52,42,27,15,14,4,0
1/1/2022,W.P. Labuan,2,0,3,44,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0
1/1/2022,W.P. Putrajaya,20,11,30,397,0,2,0,15,3,1,0,16,3,0,1,0,2,7,4,3,3,0,0
2/1/2022,Johor,407,30,0,5522,60,97,0,300,10,60,24,278,45,21,39,24,87,106,51,34,32,10,3
2/1/2022,Kedah,225,45,216,1779,5,47,0,155,23,40,8,144,33,12,28,8,37,49,23,35,21,10,2
2/1/2022,Kelantan,275,33,402,3392,10,58,5,191,21,41,9,184,38,17,24,9,59,53,39,33,25,11,2
2/1/2022,Melaka,148,16,116,1430,2,44,0,84,20,36,7,85,20,13,23,7,26,29,17,13,16,2,2
